request_id,sub_trip_id,is_parent_request,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
25,,True,BasicMultimodalRequest,1,1680,1680.0,2990,2982,,,,,224.7451087756582,1872.8759064638184,-2:t_wait:1037;t_drive:690;fare:0;pt_source_station:s5;pt_target_station:s13;t_source_transfer:0;t_source_walk:13;t_target_walk:21;pt_journey_transfers:0,,-2,,,,,0.0,RQ_MODAL_STATE.FIRSTLASTMILE
23,8.0,False,BasicMultimodalRequest,1,1680,1680.0,2967,2980,,,,,196.20737569911694,2352.022146274757,-2:t_wait:573;t_drive:600;fare:0;pt_source_station:s2;pt_target_station:s15;t_source_transfer:0;t_source_walk:27;t_target_walk:28;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.FIRSTMILE
23,2.0,False,BasicMultimodalRequest,1,1680,2070.0,2966,2980,,,60,28,183.90759926902774,1524.5518896897763,-2:t_wait:270;t_drive:180;fare:0;pt_source_station:s1;pt_target_station:s15;t_source_transfer:0;t_source_walk:60;t_target_walk:28;pt_journey_transfers:0,,,-2.0,-1.0,2130.0,2580.0,,RQ_MODAL_STATE.FIRSTMILE
24,8.0,False,BasicMultimodalRequest,1,1680,1680.0,2966,2977,,,,,287.9130379015735,2229.632454149845,-2:t_wait:60;t_drive:870;fare:0;pt_source_station:s1;pt_target_station:s12;t_source_transfer:0;t_source_walk:60;t_target_walk:17;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.LASTMILE
24,3.0,False,BasicMultimodalRequest,1,1680,1680.0,2966,2980,,,60,28,183.90759926902774,1524.5518896897763,-2:t_wait:60;t_drive:180;fare:0;pt_source_station:s1;pt_target_station:s15;t_source_transfer:0;t_source_walk:60;t_target_walk:28;pt_journey_transfers:0,,,-2.0,-1.0,1740.0,1980.0,,RQ_MODAL_STATE.LASTMILE
25,8.0,False,BasicMultimodalRequest,1,1680,1680.0,2990,2982,,,13,21,224.7451087756582,1872.8759064638184,-2:t_wait:1037;t_drive:690;fare:0;pt_source_station:s5;pt_target_station:s13;t_source_transfer:0;t_source_walk:13;t_target_walk:21;pt_journey_transfers:0,,,-2.0,-1.0,1693.0,3420.0,,RQ_MODAL_STATE.FIRSTLASTMILE
25,5.0,False,BasicMultimodalRequest,1,1680,1680.0,2990,2966,,,,,216.45785354496948,1853.4960793332511,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
25,6.0,False,BasicMultimodalRequest,1,1680,2355.0409949629575,2966,2980,,,,,183.90759926902774,1524.5518896897763,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
25,7.0,False,BasicMultimodalRequest,1,1680,2908.0,2980,2982,,,,,171.36338281880387,1073.2139374407916,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
26,,True,BasicMultimodalRequest,1,2040,2040.0,2980,2993,,,,,280.3476341823278,2980.0347211262624,"-2:t_wait:32;t_drive:420;fare:0;pt_source_station:s15;pt_target_station:s2;t_source_transfer:0;t_source_walk:28;t_target_walk:27;pt_journey_transfers:2|((-2, 3), (0, 4)):t_wait:300;t_drive:148.1542060227839;fare:100;t_source_walk:28;t_pt_wait:32;t_pt_trip:180;t_target_walk:60;pt_journey_transfers:0;pt_source_station:s15;pt_target_station:s1",,"((-2, 3), (0, 4))",,,,,100.0,RQ_MODAL_STATE.LASTMILE
